EGUNAK-DÍAS,,ITSASGORA-PLEAMARES ,,,,URTARRILA 2019 ENERO,,,
hila-,aste-,GOIZEZ - MAÑANA,,,,ARRATSALDEZ - TARDE,,,
bete-,koak,,,,,,,,
,,Orduak,Nibel e. b. i. b.,,,Orduak,Nibel e. b. i. b.,,
koak,de la,Horas,Nivel s. b. v. e.,,,Horas,Nivel s. b. v. e.,,
del,se-,,,,,,,,
,,ord. min.,m.ak zm.ak,o. haz.,,ord. min.,m.ak zm.ak,o. haz.,
mes,mana,h. m.,mts. cs.,p. pul.,,h. m.,mts. cs.,p. pul.,
28,L,02 47 ,"1,23 ",4,0,15 30 ,"1,32 ",4,3
29,M,03 56 ,"1,43 ",4,8,16 42 ,"1,48 ",4 10,
30,M,05 12 ,"1,51 ",4,11,17 55 ,"1,50 ",4 11,
31,J,06 25 ,"1,45 ",4,9,18 57 ,"1,41 ",4,7
EGUNAK-DÍAS,,ITSASGORA-PLEAMARES ,,,,OTSAILA 2019 FEBRERO,,,
hila-,aste-,GOIZEZ - MAÑANA,,,,ARRATSALDEZ - TARDE,,,
bete-,koak,,,,,,,,
,,Orduak,Nibel e. b. i. b.,,,Orduak,Nibel e. b. i. b.,,
koak,de la,Horas,Nivel s. b. v. e.,,,Horas,Nivel s. b. v. e.,,
del,se-,,,,,,,,
,,ord. min.,m.ak zm.ak,o. haz.,,ord. min.,m.ak zm.ak,o. haz.,
mes,mana,h. m.,mts. cs.,p. pul.,,h. m.,mts. cs.,p. pul.,
1,V,01 20 ,"3,53 ",11,6,13 51 ,"3,47 ",11,4
2,S,02 06 ,"3,69 ",12,1,14 33 ,"3,59 ",11,9
3,D,02 45 ,"3,84 ",12,7,15 08 ,"3,70 ",12,1
4,,03 19 ,"3,96 ",12,11,15 40 ,"3,78 ",12,4
5,M,03 51 ,"4,04 ",13,3,16 10 ,"3,83 ",12,6
6,M,04 22 ,"4,08 ",13,4,16 39 ,"3,85 ",12,7
7,J,04 53 ,"4,08 ",13,4,17 09 ,"3,83 ",12,6
8,V,05 25 ,"4,04 ",13,3,17 40 ,"3,78 ",12,4
9,S,05 58 ,"3,95 ",12,11,18 13 ,"3,69 ",12,1
10,D,06 33 ,"3,82 ",12,6,18 49 ,"3,57 ",11,8
11,L,07 13 ,"3,66 ",12,0,19 32 ,"3,44 ",11,3
12,,08 01 ,"3,49 ",11,5,20 27 ,"3,31 ",10 10,
13,M,09 02 ,"3,33 ",10,11,21 39 ,"3,23 ",10,7
14,J,10 22 ,"3,27 ",10,8,23 03 ,"3,29 ",10,9
15,V,11 45 ,"3,36 ",11,0,— ,— ,— ,—
16,S,00 19 ,"3,49 ",11,5,12 55 ,"3,59 ",11,9
17,D,01 21 ,"3,79 ",12,5,13 53 ,"3,88 ",12,8
18,L,02 14 ,"4,12 ",13,6,14 44 ,"4,16 ",13,7
19,,03 02 ,"4,42 ",14,6,15 31 ,"4,37 ",14,4
20,M,03 49 ,"4,63 ",15,2,16 16 ,"4,48 ",14,8
21,J,04 34 ,"4,72 ",15,5,17 00 ,"4,47 ",14,7
22,V,05 19 ,"4,66 ",15,3,17 44 ,"4,35 ",14,3
23,S,06 04 ,"4,46 ",14,7,18 28 ,"4,13 ",13,6
24,D,06 50 ,"4,16 ",13,7,19 14 ,"3,85 ",12,7
25,L,07 39 ,"3,80 ",12,5,20 06 ,"3,56 ",11,8
26,,08 35 ,"3,45 ",11,3,21 09 ,"3,31 ",10 10,
27,M,09 48 ,"3,17 ",10,4,22 29 ,"3,18 ",10,5
28,J,11 19 ,"3,07 ",10,0,23 51 ,"3,21 ",10,6
EGUNAK-DÍAS,,ITSASBEHERA-BAJAMARES ,,,,OTSAILA 2019 FEBRERO,,,
hila-,aste-,GOIZEZ - MAÑANA,,,,ARRATSALDEZ - TARDE,,,
bete-,koak,,,,,,,,
,,Orduak,Nibel e. b. i. b.,,,Orduak,Nibel e. b. i. b.,,
koak,de la,Horas,Nivel s. b. v. e.,,,Horas,Nivel s. b. v. e.,,
del,se-,,,,,,,,
,,ord. min.,m.ak zm.ak,o. haz.,,ord. min.,m.ak zm.ak,o. haz.,
mes,mana,h. m.,mts. cs.,p. pul.,,h. m.,mts. cs.,p. pul.,
1,V,07 25 ,"1,31 ",4,3,19 46 ,"1,27 ",4,1
2,S,08 12 ,"1,15 ",3,9,20 28 ,"1,12 ",3,8
3,D,08 52 ,"1,00 ",3,3,21 05 ,"0,99 ",3,2
4,,09 28 ,"0,87 ",2,10,21 39 ,"0,90 ",2 11,
5,M,10 01 ,"0,80 ",2,7,22 11 ,"0,85 ",2,9
6,M,10 33 ,"0,76 ",2,5,22 43 ,"0,84 ",2,9
7,J,11 03 ,"0,78 ",2,6,23 14 ,"0,87 ",2 10,
8,V,11 34 ,"0,84 ",2,9,23 45 ,"0,95 ",3,1
9,S,12 07 ,"0,94 ",3,1,— ,— ,— ,—
10,D,00 19 ,"1,06 ",3,5,12 42 ,"1,08 ",3,6
11,L,00 57 ,"1,20 ",3,11,13 22 ,"1,24 ",4,0
